ref_area,ref_area_label,classif1,classif1_label,time,obs_value_pay_gap,obs_status_label,obs_value_employees_women,obs_value_employees_men,obs_value_earnings_women,obs_value_earnings_men,obs_value_hours_women,obs_value_hours_men,earnings_ratio,hours_ratio,employment_ratio,delta_earnings,delta_hours
afg,afganistán,ocu_isco08_4,ocupación (ciuo-08): 4. personal de apoyo administrativo,2014,9.36,,11.641,131.818,1.281,1.414,41.22,45.42,0.905940594059406,0.9075297225891678,0.08831115629125005,0.133,4.200000000000003
afg,afganistán,ocu_isco08_5,ocupación (ciuo-08): 5. trabajadores de los servicios y vendedores de comercios y mercados,2014,39.721,,6.321,324.715,0.607,1.007,40.59,54.38,0.6027805362462761,0.7464141228392792,0.01946630121799116,0.3999999999999999,13.79
afg,afganistán,ocu_isco08_6,"ocupación (ciuo-08): 6. agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,-22.865,,3.908,158.524,0.797,0.649,29.34,39.19,1.2280431432973806,0.7486603725440164,0.02465241856122732,-0.14800000000000002,9.849999999999998
afg,afganistán,ocu_isco08_7,"ocupación (ciuo-08): 7. oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,56.013,,70.239,146.524,0.326,0.742,31.34,45.42,0.4393530997304582,0.6900044033465433,0.47936856760667196,0.416,14.080000000000002
afg,afganistán,ocu_isco08_9,ocupación (ciuo-08): 9. ocupaciones elementales,2014,-48.008,,16.978,794.831,0.968,0.654,36.72,40.32,1.4801223241590213,0.9107142857142857,0.021360515631624836,-0.31399999999999995,3.6000000000000014
afg,afganistán,ocu_isco08_x,ocupación (ciuo-08): x. no clasificados en otra parte,2014,25.07,,1.392,14.835,0.833,1.112,29.45,48.14,0.7491007194244603,0.6117573743248857,0.09383215369059655,0.27900000000000014,18.69
ago,angola,ocu_skill_total,ocupación (nivel de competencia): total,2021,12.747,,713.737,1754.942,0.793,0.909,41.58,48.92,0.8723872387238724,0.8499591169255928,0.4067011901248018,0.11599999999999999,7.340000000000003
ago,angola,ocu_skill_l3-4,ocupación (nivel de competencia): niveles de competencia 3 y 4 ~ altos,2021,-8.943,,216.133,548.24,1.761,1.616,35.4,38.6,1.089727722772277,0.9170984455958548,0.3942306289216402,-0.1449999999999998,3.200000000000003
ago,angola,ocu_skill_l2,ocupación (nivel de competencia): nivel de competencia 2 ~ medio,2021,8.424,,273.182,973.278,0.468,0.511,47.62,54.24,0.9158512720156556,0.8779498525073746,0.28068239495806957,0.04299999999999998,6.6200000000000045
ago,angola,ocu_skill_l1,ocupación (nivel de competencia): nivel de competencia 1 ~ bajo,2021,39.957,,221.187,86.911,0.272,0.454,39.88,47.28,0.5991189427312775,0.8434856175972928,2.5449827984950124,0.182,7.399999999999999
ago,angola,ocu_skill_x,ocupación (nivel de competencia): no clasificados en otra parte,2021,-44.507,,4.328,146.514,1.655,1.249,42.96,52.34,0.6311975591151793,0.8043437558509643,0.04124733150350717,0.9669999999999999,10.449999999999996
ago,angola,ocu_isco08_total,ocupación (ciuo-08): total,2021,12.747,,713.737,1754.942,0.793,0.909,41.58,48.92,0.8723872387238724,0.8499591169255928,0.4067011901248018,0.11599999999999999,7.340000000000003
ago,angola,ocu_isco08_1,ocupación (ciuo-08): 1. directores y gerentes,2021,-96.093,,13.314,89.663,2.239,1.142,42.94,40.36,1.9605954465849387,1.0639246778989098,0.14848934343040052,-1.097,-2.5799999999999983
ago,angola,ocu_isco08_2,ocupación (ciuo-08): 2. profesionales científicos e intelectuales,2021,-1.893,,154.898,306.701,1.868,1.833,33.51,33.96,1.0190943807965085,0.9867491166077738,0.5050456307609039,-0.03500000000000014,0.45000000000000284
ago,angola,ocu_isco08_3,ocupación (ciuo-08): 3. técnicos y profesionales de nivel medio,2021,12.412,,47.921,151.876,1.292,1.476,39.21,46.42,0.8753387533875339,0.8446790176647997,0.31552714056203746,0.18399999999999994,7.210000000000001
ago,angola,ocu_isco08_4,ocupación (ciuo-08): 4. personal de apoyo administrativo,2021,-29.009,,28.972,44.095,1.27,0.985,40.75,47.79,1.2893401015228427,0.8526888470391295,0.6570359451184942,-0.28500000000000003,7.039999999999999
ago,angola,ocu_isco08_5,ocupación (ciuo-08): 5. trabajadores de los servicios y vendedores de comercios y mercados,2021,37.087,,230.402,413.944,0.382,0.607,48.54,57.19,0.6293245469522241,0.84874978143032,0.5566018591886824,0.22499999999999998,8.649999999999999
ago,angola,ocu_isco08_6,"ocupación (ciuo-08): 6. agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2021,50.558,,5.829,59.676,0.126,0.254,43.28,44.95,0.49606299212598426,0.9628476084538375,0.09767745827468328,0.128,1.6700000000000017
ago,angola,ocu_isco08_7,"ocupación (ciuo-08): 7. oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2021,35.137,,7.244,222.849,0.243,0.375,48.42,51.11,0.648,0.9473684210526316,0.03250631593590279,0.132,2.6899999999999977
ago,angola,ocu_isco08_8,ocupación (ciuo-08): 8. operadores de instalaciones y máquinas y ensambladores,2021,-17.011,,3.301,232.713,0.498,0.446,45.87,55.6,0.6065773447015834,0.807286166842661,0.01417425618432974,0.32299999999999995,10.950000000000003
ago,angola,ocu_isco08_9,ocupación (ciuo-08): 9. ocupaciones elementales,2021,39.957,,221.187,86.911,0.272,0.454,39.88,47.28,0.5991189427312775,0.8434856175972928,2.5449827984950124,0.182,7.399999999999999
ago,angola,ocu_isco08_0,ocupación (ciuo-08): 0. ocupaciones militares,2021,-44.507,,4.328,146.514,1.655,1.249,42.96,52.34,0.6311975591151793,0.8043437558509643,0.04124733150350717,0.9669999999999999,10.449999999999996
ago,angola,ocu_skill_total,ocupación (nivel de competencia): total,2019,26.308,ruptura de serie,763.909,1780.145,1.371,1.861,40.76,49.35,0.7367006985491671,0.8259371833839918,0.42912740254305126,0.49,8.590000000000003
ago,angola,ocu_skill_l3-4,ocupación (nivel de competencia): niveles de competencia 3 y 4 ~ altos,2019,15.366,ruptura de serie,233.21,561.708,2.81,3.321,34.94,39.23,0.8461306835290575,0.8906449146061688,0.4151801291774374,0.5110000000000001,4.289999999999999
ago,angola,ocu_skill_l2,ocupación (nivel de competencia): nivel de competencia 2 ~ medio,2019,21.647,ruptura de serie,326.719,1023.742,0.846,1.079,45.52,54.55,0.7840593141797961,0.8344637946837764,0.3191419322446476,0.23299999999999998,9.029999999999994
ago,angola,ocu_skill_l1,ocupación (nivel de competencia): nivel de competencia 1 ~ bajo,2019,28.919,ruptura de serie,199.652,89.767,0.533,0.75,39.68,48.21,0.7106666666666667,0.8230657539929475,2.224113538382702,0.21699999999999997,8.530000000000001
